Name,Price,URL,Image URL
Linux Cheat Shirt,$19.00,https://store.xkcd.com/collections/everything/products/linux-cheat-shirt,https//cdn.shopify.com/s/files/1/0149/3544/products/linux-cheat_shirt_1_medium.jpg?v=1479786346
Woodpecker,from $19.00,https://store.xkcd.com/collections/everything/products/woodpecker,https//cdn.shopify.com/s/files/1/0149/3544/products/woodpecker_shirt_1_medium.jpg?v=1479786351
Correlation,from $19.00,https://store.xkcd.com/collections/everything/products/correlation,https//cdn.shopify.com/s/files/1/0149/3544/products/correlation_shirt_1_medium.jpg?v=1479786358
Shark,from $19.00,https://store.xkcd.com/collections/everything/products/shark,https//cdn.shopify.com/s/files/1/0149/3544/products/shark_shirt_1_medium.jpg?v=1479786362
Tech Support,from $19.00,https://store.xkcd.com/collections/everything/products/tech-support,https//cdn.shopify.com/s/files/1/0149/3544/products/tech_support_shirt_1_1730f41c-cbb2-4cb3-b916-2e6e5295580c_medium.jpg?v=1479786369
QR Code,from $19.00,https://store.xkcd.com/collections/everything/products/qr-code,https//cdn.shopify.com/s/files/1/0149/3544/products/qr_shirt_1_ec39110e-ad86-4ec0-864e-d4b5c1421941_medium.jpg?v=1479786378
Sysadmin,from $19.00,https://store.xkcd.com/collections/everything/products/sysadmin,https//cdn.shopify.com/s/files/1/0149/3544/products/sysadmin_shirt_1_medium.jpg?v=1479786391
Centrifuge,from $19.00,https://store.xkcd.com/collections/everything/products/centrifuge,https//cdn.shopify.com/s/files/1/0149/3544/products/centrifuge_shirt_1_medium.jpg?v=1479786400
Collatz Conjecture,from $19.00,https://store.xkcd.com/collections/everything/products/collatz-conjecture,https//cdn.shopify.com/s/files/1/0149/3544/products/collatz_shirt_1_medium.jpg?v=1479786413
Self Reference,from $19.00,https://store.xkcd.com/collections/everything/products/self-reference,https//cdn.shopify.com/s/files/1/0149/3544/products/self_reference_shirt_1_medium.jpg?v=1479786424
Greek Letter Shirt,from $19.00,https://store.xkcd.com/collections/everything/products/greek-letter-shirt,https//cdn.shopify.com/s/files/1/0149/3544/products/greek_medium.png?v=1479786433
Issues Shirt,from $19.00,https://store.xkcd.com/collections/everything/products/issues-shirt,https//cdn.shopify.com/s/files/1/0149/3544/products/notability-black_medium.png?v=1479786439
Flying Ferret Tank Top,$20.00,https://store.xkcd.com/collections/everything/products/flying-ferret-tank-top,https//cdn.shopify.com/s/files/1/0149/3544/products/tank_top_1_medium.jpg?v=1479786246
Overthinking Shirt,$21.00,https://store.xkcd.com/collections/everything/products/overthinking-shirt,https//cdn.shopify.com/s/files/1/0149/3544/products/overthinking1_medium.png?v=1479786447
XKCD Figures Shirt,$21.00,https://store.xkcd.com/collections/everything/products/xkcd-figures-shirt,https//cdn.shopify.com/s/files/1/0149/3544/products/xkcd1_medium.png?v=1479786455
Rover Shirt,$21.00,https://store.xkcd.com/collections/everything/products/rover-shirt,https//cdn.shopify.com/s/files/1/0149/3544/products/rover1_medium.png?v=1479786463
Exoplanets Shirt,$21.00,https://store.xkcd.com/collections/everything/products/exoplanets-shirt,https//cdn.shopify.com/s/files/1/0149/3544/products/exoplanets1_medium.png?v=1479786470
xkcd tie,$32.00,https://store.xkcd.com/collections/everything/products/xkcd-tie,https//cdn.shopify.com/s/files/1/0149/3544/products/xkcd-tie_1_medium.jpg?v=1479786250
Hoodie,$40.00,https://store.xkcd.com/collections/everything/products/hoodie,https//cdn.shopify.com/s/files/1/0149/3544/products/hoodie_1_7f9223f9-6933-47c6-9af5-d06b8227774a_medium.png?v=1479786341
Hat Guy Polo,$42.00,https://store.xkcd.com/collections/everything/products/hat-guy-polo,https//cdn.shopify.com/s/files/1/0149/3544/products/hat_polo_1_medium.jpg?v=1479786180
Raptor Polo,$42.00,https://store.xkcd.com/collections/everything/products/raptor-polo,https//cdn.shopify.com/s/files/1/0149/3544/products/raptor_polo_1_medium.jpg?v=1479786192
