Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bancor,BNT,1.97241,2140250.0,80420817.8113,-0.43%,-2.05%,1.06%
ATMChain,ATM,0.0275824,200430.0,80362272.1806,-2.77%,-9.56%,11.31%
ZCoin,XZC,22.4228,6221660.0,77122759.822,-0.83%,-5.46%,44.09%
Storj,STORJ,0.723061,23989500.0,74927951.6971,-2.62%,33.97%,31.59%
VeChain,VEN,0.262825,1558500.0,72845269.1365,0.44%,16.45%,8.90%
Gnosis,GNO,63.1251,563978.0,69727354.209,-3.10%,1.72%,-5.68%
Particl,PART,8.66821,444530.0,67375424.282,1.14%,3.34%,-2.89%
B3Coin,B3,0.000822594,936065.0,66498758.8436,-2.46%,-10.59%,-68.16%
Nxt,NXT,0.0664182,4166540.0,66351777.915,-1.33%,3.06%,8.87%
Open Trading ...,OTN,46.2008,12590300.0,63538192.967,1.28%,-10.99%,35.45%
FunFair,FUN,0.0158609,1020200.0,63443600.0,-1.07%,7.22%,-2.83%
ChainLink,LINK,0.179558,1617320.0,62845300.0,-0.47%,-0.84%,-10.36%
Ripio Credit ...,RCN,0.12518,5871240.0,60730156.5957,1.77%,-4.67%,-5.05%
Monaco,MCO,6.10575,3449300.0,59927174.3438,0.94%,-1.48%,4.44%
AdEx,ADX,0.977004,3831400.0,55932668.2378,-1.02%,0.38%,1.61%
ZenCash,ZEN,22.7025,1042830.0,55749346.9645,0.97%,0.21%,-2.59%
Cryptonex,CNX,1.2232,105255.0,54998357.445,-1.22%,8.73%,-4.97%
Bitdeal,BDL,0.300975,600530.0,52846332.0982,2.93%,14.27%,1.09%
NAV Coin,NAV,0.85014,1233550.0,52738188.1166,-0.60%,2.82%,-1.37%
Nexus,NXS,0.977435,166803.0,52561923.6936,-2.31%,2.28%,-1.49%
FairCoin,FAIR,0.975485,6222.62,51889784.6915,-2.47%,6.09%,3.45%
Edgeless,EDG,0.610174,707485.0,50062511.7341,-2.09%,-1.40%,9.76%
Streamr DATAcoin,DATA,0.0736487,941546.0,49871549.6552,1.79%,0.55%,-4.55%
KuCoin Shares,KCS,0.536745,669807.0,48866915.8277,-0.68%,-1.34%,-23.41%
Zeusshield,ZSC,0.0422182,85165.2,48699623.1759,0.23%,7.15%,-2.48%
Ubiq,UBQ,1.2521,280728.0,48636043.3223,-0.62%,3.65%,2.82%
iExec RLC,RLC,0.595954,1266970.0,47122555.5138,-5.70%,17.28%,6.95%
MobileGo,MGO,0.472723,159500.0,46340509.5493,-1.32%,-1.21%,21.27%
Wings,WINGS,0.515005,1526400.0,46200240.0367,-1.47%,6.53%,32.33%
Kin,KIN,5.92078e-05,58520.5,44766873.1708,-0.16%,8.12%,1.44%
Neblio,NEBL,3.44183,472620.0,43193444.0203,-3.08%,-6.43%,-21.23%
Dentacoin,DCN,0.000131879,206813.0,42663779.7883,86.03%,24.89%,21.89%
Aragon,ANT,1.30484,292209.0,42614984.9499,-1.21%,2.68%,6.40%
I/O Coin,IOC,2.59605,115861.0,42525657.6148,0.01%,8.65%,-1.73%
Melon,MLN,70.8177,508160.0,42448129.38,-0.33%,-0.44%,24.86%
Centra,CTR,0.609942,2711180.0,41476056.0,1.98%,0.79%,59.02%
Counterparty,XCP,14.8845,499359.0,38960282.9531,-3.11%,-1.65%,17.00%
Loopring,LRC,0.135538,496994.0,38787011.8622,-2.39%,-6.48%,-17.19%
NoLimitCoin,NLC2,0.184645,79919.0,37727795.7795,-0.58%,4.05%,-8.86%
Pillar,PLR,0.16381,589600.0,37247904.088,0.72%,10.71%,61.62%
Peercoin,PPC,1.47128,455367.0,35965038.7737,-1.26%,-1.52%,-4.33%
OKCash,OK,0.481395,6395700.0,35239574.3868,2.21%,4.90%,91.41%
Request Network,REQ,0.0549114,1217590.0,34923650.3908,-0.31%,-1.49%,-1.05%
BitBay,BAY,0.0342319,2847950.0,34500445.667,0.18%,29.41%,28.65%
